dt,Базовый индекс потребительских цен на товары и услуги,Ключевая ставка,Price,istest,"Концентрат коксующегося угля_Россия марка ОС FCA руб./т, без НДС","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Чугун_CFR Италия, $/т","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_3А, РФ CPT авто Центральный ФО, руб./т, без НДС","Лом_3А, РФ CPT авто Уральский ФО, руб./т, без НДС","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_3А, РФ CPT авто Южный ФО, руб./т, без НДС","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС","Лом_Б26 легированный (Ni 9,3%), РФ CPT, руб./т, без НДС","ГБЖ_Россия, FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","Чугун_FOB Бразилия Юг, $/т","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т","Концентрат коксующегося угля_Россия марка К и смеси марок К, КО FCA руб./т, без НДС","Чугун_FOB Россия Дальневосточные порты, $/т","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж+ГЖ FCA руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","Лом_3А, РФ FCA ж/д Кемеровская обл, руб./т, без НДС","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","Концентрат коксующегося угля_HCC Австралия, $/t FOB","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","ГБЖ_CFR Италия, $/т","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж FCA руб./т, без НДС","Чугун_CFR Западная Европа, $/т","Лом_3А, РФ FCA ж/д Челябинская обл, руб./т, без НДС","Лом_3А, РФ FCA ж/д ХМАО, руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т","Чугун_CFR Китай, $/т","Лом_3А, РФ FCA ж/д Самарская обл, руб./т, без НДС","Концентрат коксующегося угля_Средняя шихта Россия FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка ГЖ FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д Нижегородская обл, руб./т, без НДС","Чугун_CFR NOLA США, $/т","Лом_3А, РФ FCA ж/д Новосибирская обл, руб./т, без НДС","Лом_3А, РФ FCA ж/д Свердловская обл, руб./т, без НДС","Чугун_CFR Турция, $/т","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в концентрате, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в окатыши, Россия FCA руб./т, без НДС","ЖРС_Украинский концентрат Fe 65-68%,  DAP граница Украины с Европой,  $/т","ЖРС_Украинские окатыши Fe 65-66%, DAP граница Украины с Европой,  $/т"
2015-02-09,100.82,7.75,30300.0,0.0,3850.0,228.0,12344.0,10009.0,12728.0,62.0,285.5,3700.0,70.0,27450.0,27950.0,221.0,221.0,338.0,28000.0,248.0,3300.0,90000.0,15100.0,11573.0,425.0,51.0,4500.0,525.0,6900.0,11870.0,4300.0,297.0,15800.0,1325.0,2275.0,21250.0,106.0,3450.0,249.5,11598.0,4700.0,490.0,19400.0,16566.0,246.0,322.5,16993.0,3890.0,3350.0,0.0,312.0,0.0,18353.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5
2015-02-16,100.82,7.75,30100.0,0.0,3850.0,206.0,12271.0,10432.0,12852.0,63.0,285.5,3700.0,70.0,27450.0,27950.0,221.0,213.0,308.0,28000.0,248.0,3300.0,90000.0,15100.0,11746.0,425.0,51.0,4500.0,525.0,6900.0,12088.0,4300.0,278.0,15800.0,1325.0,2275.0,21250.0,106.0,3450.0,249.5,11794.0,4700.0,490.0,19400.0,16566.0,243.0,322.5,16993.0,3890.0,3350.0,0.0,312.0,0.0,18353.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5
2015-02-23,100.82,7.75,29400.0,0.0,3850.0,207.0,12645.0,11981.0,13034.0,64.0,285.5,3700.0,72.0,27450.0,27950.0,215.0,208.0,295.0,28000.0,248.0,3300.0,90000.0,15100.0,11930.0,425.0,53.0,4500.0,525.0,6900.0,12503.0,4300.0,265.0,15800.0,1325.0,2275.0,21250.0,103.0,3450.0,249.5,12047.0,4700.0,490.0,19400.0,16566.0,241.0,322.5,16993.0,3890.0,3350.0,0.0,312.0,0.0,18353.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5
2015-03-02,100.82,7.75,29200.0,0.0,3850.0,214.0,12696.0,11912.0,12910.0,63.0,285.5,3700.0,72.0,27450.0,27950.0,224.0,215.0,295.0,28000.0,248.0,3300.0,90000.0,15100.0,12100.0,425.0,53.0,4500.0,525.0,6900.0,12439.0,4300.0,265.0,15800.0,1325.0,2275.0,21250.0,103.0,3450.0,249.5,12253.0,4700.0,490.0,19400.0,16566.0,249.0,322.5,16993.0,3890.0,3350.0,0.0,312.0,0.0,18353.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5
2015-03-09,100.82,7.75,29000.0,0.0,4400.0,232.0,12916.0,12061.0,12964.0,61.0,285.5,4050.0,70.0,27450.0,27950.0,229.0,221.0,275.0,28000.0,248.0,3750.0,90000.0,15100.0,11774.0,425.0,51.0,4700.0,525.0,8750.0,12020.0,4100.0,265.0,15800.0,1345.0,2425.0,15250.0,103.0,3500.0,249.5,12183.0,4700.0,490.0,19400.0,16566.0,257.0,322.5,16993.0,4164.0,3525.0,0.0,312.0,0.0,18353.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5
2015-03-16,100.82,7.75,28700.0,0.0,4400.0,229.0,12883.0,11893.0,12812.0,58.0,285.5,4050.0,67.0,27450.0,27950.0,231.0,223.0,265.0,28000.0,248.0,3750.0,90000.0,15100.0,11733.0,425.0,48.0,4700.0,525.0,8750.0,12093.0,4100.0,263.0,15800.0,1345.0,2425.0,15250.0,102.0,3500.0,249.5,12140.0,4700.0,490.0,19400.0,16566.0,256.0,322.5,16993.0,4164.0,3525.0,0.0,312.0,0.0,18353.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5
2015-03-23,100.82,7.75,27800.0,0.0,4400.0,230.0,12753.0,11945.0,12694.0,56.0,285.5,4050.0,65.0,27450.0,27950.0,230.0,220.0,263.0,28000.0,253.0,3750.0,90000.0,15100.0,11540.0,425.0,46.0,4700.0,525.0,8750.0,11763.0,4100.0,263.0,15800.0,1345.0,2425.0,15250.0,101.0,3500.0,249.5,12139.0,4700.0,490.0,19400.0,16566.0,254.0,322.5,16993.0,4164.0,3525.0,0.0,312.0,0.0,18353.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5
2015-03-30,100.82,7.75,27200.0,0.0,4400.0,231.0,12521.0,11853.0,12569.0,55.0,285.5,4050.0,63.5,27450.0,27950.0,233.0,221.0,269.0,28000.0,254.0,3750.0,90000.0,15100.0,11579.0,425.0,44.5,4700.0,525.0,8750.0,11719.0,4100.0,261.0,15800.0,1345.0,2425.0,15250.0,98.0,3500.0,249.5,12113.0,4700.0,490.0,19400.0,16566.0,256.0,322.5,16993.0,4164.0,3525.0,0.0,312.0,0.0,18353.0,297.5,3601.0,2322.0,1267.0,23.0,64.0,101.0,77.0,125.5
2015-04-06,100.82,7.75,26600.0,0.0,4400.0,235.0,12395.0,11785.0,12421.0,50.0,285.5,4050.0,58.0,27450.0,27950.0,236.0,229.0,265.0,28000.0,258.0,3750.0,90000.0,15100.0,11378.0,425.0,39.0,4700.0,525.0,8750.0,11250.0,4100.0,264.0,15800.0,1250.0,2175.0,13250.0,95.0,3200.0,249.5,12369.0,4700.0,490.0,19400.0,16566.0,262.0,322.5,16993.0,4941.0,3525.0,0.0,312.0,0.0,18353.0,297.5,3601.0,2322.0,1267.0,23.0,64.0,101.0,77.0,125.5
2015-04-13,100.82,7.75,25700.0,0.0,5350.0,238.0,12220.0,11327.0,12146.0,48.0,285.5,5200.0,57.5,27450.0,27950.0,236.0,229.0,265.0,28000.0,258.0,4400.0,90000.0,15100.0,11056.0,425.0,38.5,5700.0,525.0,10350.0,11327.0,4800.0,260.0,15800.0,1250.0,2175.0,13250.0,92.0,3200.0,249.5,12324.0,5550.0,490.0,19400.0,16566.0,263.0,322.5,16993.0,4941.0,3850.0,0.0,312.0,0.0,18353.0,297.5,3601.0,2322.0,1267.0,23.0,64.0,101.0,77.0,125.5
